,0,1,2
TCGA-OR-A5JC-01A-11D-A29I-10,1570,[32],"[1559, 1571]"
TCGA-OR-A5JF-01A-11D-A29I-10,1572,[0],"[1559, 1571]"
TCGA-OR-A5JG-01A-11D-A29I-10,1573,[128],"[1559, 1538]"
TCGA-OR-A5JM-01A-11D-A29I-10,1574,[196],"[1559, 1538]"
TCGA-OR-A5JP-01A-11D-A29I-10,1575,[80],"[1559, 1538]"
TCGA-OR-A5JS-01A-11D-A29I-10,1576,[140],"[1559, 1538]"
TCGA-OR-A5JU-01A-11D-A30A-10,1577,[164],"[1559, 1538]"
TCGA-OR-A5JX-01A-11D-A29I-10,1578,[136],"[1559, 1538]"
TCGA-OR-A5JY-01A-31D-A29I-10,1579,[208],"[1559, 1538]"
TCGA-OR-A5JZ-01A-11D-A29I-10,1580,[24],"[1559, 1581]"
TCGA-OR-A5K2-01A-11D-A29I-10,1582,[20],"[1559, 1538]"
TCGA-OR-A5K4-01A-11D-A29I-10,1583,[0],"[1559, 1563]"
TCGA-OR-A5K5-01A-11D-A29I-10,1584,[96],"[1559, 1538]"
TCGA-OR-A5K9-01A-11D-A29I-10,1585,[32],"[1559, 1538]"
TCGA-OR-A5KB-01A-11D-A30A-10,1586,[0],"[1559, 1549]"
TCGA-OR-A5KO-01A-11D-A29I-10,1587,[112],"[1559, 1538]"
TCGA-OR-A5KP-01A-11D-A30A-10,1588,[28],"[1559, 1538]"
TCGA-OR-A5KS-01A-11D-A30A-10,1589,[115],"[1559, 1538]"
TCGA-OR-A5KU-01A-11D-A29I-10,1590,[238],"[1559, 1563]"
TCGA-OR-A5KX-01A-11D-A29I-10,1591,[176],"[1559, 1553]"
TCGA-OR-A5L2-01A-11D-A30A-10,1592,[64],"[1559, 1538]"
TCGA-OR-A5L4-01A-11D-A29I-10,1593,[236],"[1559, 1538]"
TCGA-OR-A5L6-01A-11D-A29I-10,1594,[164],"[1559, 1538]"
TCGA-OR-A5L8-01A-11D-A29I-10,1595,[148],"[1559, 1538]"
TCGA-OR-A5LB-01A-11D-A29I-10,1596,[116],"[1559, 1563]"
TCGA-OR-A5LC-01A-11D-A29I-10,1597,[180],"[1559, 1538]"
TCGA-OR-A5LD-01A-11D-A29I-10,1598,[132],"[1559, 1538]"
TCGA-OR-A5LE-01A-11D-A29I-10,1599,[1],"[1559, 1547]"
TCGA-OR-A5LG-01A-11D-A29I-10,1600,[8],"[1559, 1538]"
TCGA-OR-A5LI-01A-11D-A30A-10,1601,[40],"[1559, 1538]"
TCGA-OR-A5LJ-01A-11D-A29I-10,1602,[192],"[1559, 1563]"
TCGA-OR-A5LK-01A-11D-A29I-10,1603,[128],"[1559, 1538]"
TCGA-OR-A5LL-01A-11D-A29I-10,1604,[188],"[1559, 1538]"
TCGA-OR-A5LM-01A-11D-A29I-10,1605,[0],"[1559, 1538]"
TCGA-OR-A5LO-01A-11D-A29I-10,1606,[180],"[1559, 1607]"
TCGA-OR-A5LT-01A-11D-A29I-10,1608,[176],"[1559, 1538]"
TCGA-P6-A5OF-01A-11D-A29I-10,1609,[164],"[1559, 1538]"
TCGA-P6-A5OH-01A-11D-A30A-10,1610,[4],"[1559, 1538]"
TCGA-PK-A5HA-01A-11D-A29I-10,1611,[64],"[1559, 1538]"
TCGA-PK-A5HB-01A-11D-A29I-10,1612,[0],"[1559, 1553]"
TCGA-PK-A5HC-01A-11D-A30A-10,1613,[212],"[1559, 1607]"
TCGA-2F-A9KO-01A-11D-A38G-08,1614,[148],"[1615, 1607]"
TCGA-2F-A9KP-01A-11D-A38G-08,1616,[36],"[1615, 1607]"
TCGA-2F-A9KQ-01A-11D-A38G-08,1617,[4],"[1615, 1538]"
TCGA-2F-A9KR-01A-11D-A38G-08,1618,[80],"[1615, 1607]"
TCGA-2F-A9KT-01A-11D-A38G-08,1619,[4],"[1615, 1607]"
TCGA-2F-A9KW-01A-11D-A38G-08,1620,[132],"[1615, 1607]"
TCGA-4Z-AA7M-01A-11D-A391-08,1621,[160],"[1615, 1607]"
TCGA-4Z-AA7N-01A-11D-A391-08,1622,[142],"[1615, 1607]"
TCGA-4Z-AA7O-01A-31D-A391-08,1623,[144],"[1615, 1607]"
TCGA-4Z-AA7Q-01A-11D-A391-08,1624,[212],"[1615, 1607]"
TCGA-4Z-AA7R-01A-11D-A391-08,1625,[80],"[1615, 1607]"
TCGA-4Z-AA7S-01A-11D-A391-08,1626,[0],"[1615, 1563]"
TCGA-4Z-AA7W-01A-11D-A391-08,1627,[68],"[1615, 1607]"
TCGA-4Z-AA7Y-01A-11D-A391-08,1628,[80],"[1615, 1607]"
TCGA-4Z-AA80-01A-11D-A391-08,1629,[208],"[1615, 1607]"
TCGA-4Z-AA81-01A-11D-A391-08,1630,[108],"[1615, 1607]"
TCGA-4Z-AA82-01A-11D-A391-08,1631,[136],"[1615, 1547]"
TCGA-4Z-AA83-01A-11D-A391-08,1632,[16],"[1615, 1607]"
TCGA-4Z-AA84-01A-11D-A391-08,1633,[4],"[1615, 1607]"
TCGA-4Z-AA86-01A-11D-A391-08,1634,[68],"[1615, 1607]"
TCGA-4Z-AA87-01A-11D-A391-08,1635,[148],"[1615, 1607]"
TCGA-4Z-AA89-01A-11D-A391-08,1636,[44],"[1615, 1607]"
TCGA-5N-A9KI-01A-31D-A42E-08,1637,[128],"[1615, 1607]"
TCGA-5N-A9KM-01A-11D-A42E-08,1638,[16],"[1615, 1538]"
TCGA-BL-A0C8-01A-11D-A271-08,1639,[96],"[1615, 1607]"
TCGA-BL-A13I-01A-11D-A271-08,1640,[128],"[1615, 1607]"
TCGA-BL-A3JM-01A-12D-A21A-08,1641,[80],"[1615, 1607]"
TCGA-BL-A5ZZ-01A-31D-A30E-08,1642,[16],"[1615, 1607]"
TCGA-BT-A0S7-01A-11D-A10S-08,1643,[8],"[1615, 1538]"
TCGA-BT-A0YX-01A-11D-A10S-08,1644,[4],"[1615, 1607]"
TCGA-BT-A20J-01A-11D-A14W-08,1645,[196],"[1615, 1607]"
TCGA-BT-A20N-01A-11D-A14W-08,1646,[192],"[1615, 1571]"
TCGA-BT-A20O-01A-21D-A14W-08,1647,[128],"[1615, 1607]"
TCGA-BT-A20R-01A-12D-A16O-08,1648,[20],"[1615, 1607]"
TCGA-BT-A20U-01A-11D-A14W-08,1649,[16],"[1615, 1607]"
TCGA-BT-A20W-01A-21D-A14W-08,1650,[16],"[1615, 1547]"
TCGA-BT-A20X-01A-11D-A16O-08,1651,[44],"[1615, 1538]"
TCGA-BT-A2LB-01A-11D-A18F-08,1652,[16],"[1615, 1607]"
TCGA-BT-A2LD-01A-12D-A20D-08,1653,[208],"[1615, 1538]"
TCGA-BT-A3PK-01A-21D-A21Z-08,1654,[176],"[1615, 1607]"
TCGA-BT-A42B-01A-32D-A23M-08,1655,[172],"[1615, 1538]"
TCGA-BT-A42C-01A-11D-A23M-08,1656,[144],"[1615, 1607]"
TCGA-BT-A42E-01A-11D-A23U-08,1657,[196],"[1615, 1607]"
TCGA-BT-A42F-01A-11D-A23U-08,1658,[76],"[1615, 1607]"
TCGA-C4-A0EZ-01A-21D-A10S-08,1659,[16],"[1615, 1607]"
TCGA-C4-A0F0-01A-12D-A10S-08,1660,[80],"[1615, 1547]"
TCGA-C4-A0F1-01A-11D-A10S-08,1661,[208],"[1615, 1607]"
TCGA-C4-A0F6-01A-11D-A10S-08,1662,[160],"[1615, 1607]"
TCGA-CF-A1HR-01A-11D-A13W-08,1663,[196],"[1615, 1607]"
TCGA-CF-A1HS-01A-11D-A13W-08,1664,[68],"[1615, 1607]"
TCGA-CF-A3MF-01A-12D-A21A-08,1665,[216],"[1615, 1563]"
TCGA-CF-A3MG-01A-11D-A20D-08,1666,[68],"[1615, 1607]"
TCGA-CF-A3MH-01A-11D-A20D-08,1667,[8],"[1615, 1538]"
TCGA-CF-A3MI-01A-11D-A20D-08,1668,[0],"[1615, 1607]"
TCGA-CF-A47S-01A-11D-A23U-08,1669,[209],"[1615, 1553]"
TCGA-CF-A47V-01A-11D-A23U-08,1670,[104],"[1615, 1607]"
TCGA-CF-A47X-01A-31D-A23U-08,1671,[160],"[1615, 1607]"
TCGA-CF-A47Y-01A-11D-A23U-08,1672,[84],"[1615, 1607]"
TCGA-CF-A5U8-01A-11D-A289-08,1673,[80],"[1615, 1538]"
TCGA-CF-A5UA-01A-11D-A289-08,1674,[208],"[1615, 1538]"
TCGA-CF-A7I0-01A-22D-A34U-08,1675,[16],"[1615, 1607]"
TCGA-CF-A8HX-01A-11D-A364-08,1676,[4],"[1615, 1607]"
TCGA-CF-A8HY-01A-11D-A364-08,1677,[40],"[1615, 1607]"
TCGA-CF-A9FF-01A-11D-A38G-08,1678,[212],"[1615, 1607]"
TCGA-CF-A9FL-01A-11D-A38G-08,1679,[208],"[1615, 1538]"
TCGA-CU-A0YO-01A-11D-A10S-08,1680,[164],"[1615, 1607]"
TCGA-CU-A0YR-01A-12D-A10S-08,1681,[16],"[1615, 1538]"
TCGA-CU-A3KJ-01A-11D-A21A-08,1682,[4],"[1615, 1607]"
TCGA-CU-A3QU-01A-11D-A22Z-08,1683,[168],"[1615, 1607]"
TCGA-CU-A3YL-01A-11D-A22Z-08,1684,[72],"[1615, 1607]"
TCGA-CU-A5W6-01A-11D-A289-08,1685,[16],"[1615, 1607]"
TCGA-CU-A72E-01A-12D-A339-08,1686,[132],"[1615, 1607]"
TCGA-DK-A1A3-01A-11D-A13W-08,1687,[176],"[1615, 1607]"
TCGA-DK-A1AB-01A-11D-A13W-08,1688,[28],"[1615, 1607]"
TCGA-DK-A1AC-01A-11D-A13W-08,1689,[192],"[1615, 1607]"
TCGA-DK-A1AD-01A-11D-A13W-08,1690,[132],"[1615, 1607]"
TCGA-DK-A1AF-01A-11D-A13W-08,1691,[36],"[1615, 1607]"
TCGA-DK-A2HX-01A-12D-A18F-08,1692,[176],"[1615, 1607]"
TCGA-DK-A2I4-01A-11D-A21A-08,1693,[180],"[1615, 1607]"
TCGA-DK-A2I6-01A-12D-A18F-08,1694,[16],"[1615, 1607]"
TCGA-DK-A3IK-01A-32D-A21A-08,1695,[160],"[1615, 1547]"
TCGA-DK-A3IM-01A-11D-A20D-08,1696,[104],"[1615, 1538]"
TCGA-DK-A3IN-01A-11D-A20D-08,1697,[80],"[1615, 1607]"
TCGA-DK-A3IQ-01A-31D-A20D-08,1698,[128],"[1615, 1607]"
TCGA-DK-A3IS-01A-21D-A21A-08,1699,[32],"[1615, 1607]"
TCGA-DK-A3IT-01A-31D-A20D-08,1700,[76],"[1615, 1607]"
TCGA-DK-A3IU-01A-11D-A20D-08,1701,[224],"[1615, 1607]"
TCGA-DK-A3IV-01A-22D-A21A-08,1702,[16],"[1615, 1607]"
TCGA-DK-A3WW-01A-22D-A23M-08,1703,[68],"[1615, 1607]"
TCGA-DK-A3WX-01A-22D-A22Z-08,1704,[204],"[1615, 1607]"
TCGA-DK-A3WY-01A-11D-A22Z-08,1705,[127],"[1615, 1607]"
TCGA-DK-A3X1-01A-12D-A22Z-08,1706,[0],"[1615, 1607]"
TCGA-DK-A3X2-01A-11D-A22Z-08,1707,[16],"[1615, 1538]"
TCGA-DK-A6AV-01A-12D-A30E-08,1708,[176],"[1615, 1607]"
TCGA-DK-A6AW-01A-11D-A30E-08,1709,[16],"[1615, 1551]"
TCGA-DK-A6B0-01A-11D-A31L-08,1710,[216],"[1615, 1538]"
TCGA-DK-A6B1-01A-12D-A30E-08,1711,[4],"[1615, 1607]"
TCGA-DK-A6B2-01A-11D-A30E-08,1712,[132],"[1615, 1607]"
TCGA-DK-A6B5-01A-11D-A31L-08,1713,[192],"[1615, 1607]"
TCGA-DK-A6B6-01A-11D-A30E-08,1714,[208],"[1615, 1607]"
TCGA-DK-AA6L-01A-11D-A391-08,1715,[80],"[1615, 1607]"
TCGA-DK-AA6M-01A-11D-A391-08,1716,[212],"[1615, 1538]"
TCGA-DK-AA6P-01A-11D-A391-08,1717,[184],"[1615, 1607]"
TCGA-DK-AA6Q-01A-11D-A391-08,1718,[116],"[1615, 1607]"
TCGA-DK-AA6S-01A-21D-A391-08,1719,[64],"[1615, 1607]"
TCGA-DK-AA6T-01A-11D-A391-08,1720,[92],"[1615, 1538]"
TCGA-DK-AA6U-01A-11D-A391-08,1721,[128],"[1615, 1607]"
TCGA-DK-AA6W-01A-12D-A391-08,1722,[128],"[1615, 1607]"
TCGA-DK-AA6X-01A-12D-A42E-08,1723,[104],"[1615, 1607]"
TCGA-DK-AA71-01A-31D-A391-08,1724,[72],"[1615, 1607]"
TCGA-DK-AA74-01A-11D-A391-08,1725,[80],"[1615, 1607]"
TCGA-DK-AA75-01A-11D-A391-08,1726,[176],"[1615, 1607]"
TCGA-DK-AA76-01A-11D-A391-08,1727,[0],"[1615, 1607]"
TCGA-E5-A2PC-01A-11D-A202-08,1728,[208],"[1615, 1607]"
TCGA-E5-A4TZ-01A-11D-A31L-08,1729,[0],"[1615, 1607]"
TCGA-E5-A4U1-01A-11D-A31L-08,1730,[16],"[1615, 1607]"
TCGA-E7-A3X6-01A-12D-A22Z-08,1731,[140],"[1615, 1607]"
TCGA-E7-A3Y1-01A-11D-A22Z-08,1732,[240],"[1615, 1538]"
TCGA-E7-A4IJ-01A-31D-A26M-08,1733,[208],"[1615, 1607]"
TCGA-E7-A4XJ-01A-11D-A26M-08,1734,[76],"[1615, 1538]"
TCGA-E7-A519-01A-11D-A26M-08,1735,[96],"[1615, 1538]"
TCGA-E7-A541-01A-11D-A26M-08,1736,[176],"[1615, 1607]"
TCGA-E7-A5KE-01A-11D-A289-08,1737,[244],"[1615, 1607]"
TCGA-E7-A5KF-01A-11D-A289-08,1738,[84],"[1615, 1607]"
TCGA-E7-A677-01A-11D-A30E-08,1739,[224],"[1615, 1538]"
TCGA-E7-A678-01A-11D-A30E-08,1740,[28],"[1615, 1538]"
TCGA-E7-A6MD-01A-41D-A34U-08,1741,[164],"[1615, 1607]"
TCGA-E7-A6ME-01A-22D-A32B-08,1742,[132],"[1615, 1538]"
TCGA-E7-A6MF-01A-12D-A32B-08,1743,[60],"[1615, 1607]"
TCGA-E7-A7DU-01A-11D-A32B-08,1744,[4],"[1615, 1607]"
TCGA-E7-A7DV-01A-11D-A339-08,1745,[4],"[1615, 1607]"
TCGA-E7-A7PW-01A-11D-A34U-08,1746,[0],"[1615, 1607]"
TCGA-E7-A7XN-01A-11D-A34U-08,1747,[132],"[1615, 1607]"
TCGA-E7-A85H-01A-11D-A34U-08,1748,[0],"[1615, 1538]"
TCGA-E7-A8O7-01A-11D-A364-08,1749,[28],"[1615, 1538]"
TCGA-E7-A8O8-01A-11D-A364-08,1750,[236],"[1615, 1547]"
TCGA-E7-A97P-01A-11D-A38G-08,1751,[4],"[1615, 1538]"
TCGA-E7-A97Q-01A-11D-A38G-08,1752,[48],"[1615, 1607]"
TCGA-FD-A3B3-01A-12D-A202-08,1753,[128],"[1615, 1607]"
TCGA-FD-A3B4-01A-12D-A202-08,1754,[128],"[1615, 1547]"
TCGA-FD-A3B5-01A-11D-A20D-08,1755,[184],"[1615, 1607]"
TCGA-FD-A3B6-01A-21D-A20D-08,1756,[208],"[1615, 1607]"
TCGA-FD-A3B7-01A-31D-A20D-08,1757,[248],"[1615, 1538]"
TCGA-FD-A3B8-01A-31D-A20D-08,1758,[116],"[1615, 1607]"
TCGA-FD-A3NA-01A-11D-A21A-08,1759,[80],"[1615, 1607]"
TCGA-FD-A3SJ-01A-12D-A22Z-08,1760,[192],"[1615, 1607]"
TCGA-FD-A3SL-01A-21D-A22Z-08,1761,[80],"[1615, 1547]"
TCGA-FD-A3SM-01A-11D-A22Z-08,1762,[184],"[1615, 1607]"
TCGA-FD-A3SN-01A-12D-A22Z-08,1763,[192],"[1615, 1607]"
TCGA-FD-A3SO-01A-11D-A22Z-08,1764,[12],"[1615, 1607]"
TCGA-FD-A3SP-01A-31D-A22Z-08,1765,[80],"[1615, 1607]"
TCGA-FD-A3SQ-01A-21D-A22Z-08,1766,[164],"[1615, 1607]"
TCGA-FD-A3SR-01A-11D-A22Z-08,1767,[132],"[1615, 1607]"
TCGA-FD-A3SS-01A-12D-A22Z-08,1768,[160],"[1615, 1607]"
TCGA-FD-A43N-01A-11D-A23U-08,1769,[0],"[1615, 1607]"
TCGA-FD-A43P-01A-31D-A23U-08,1770,[144],"[1615, 1607]"
TCGA-FD-A43U-01A-11D-A23U-08,1771,[100],"[1615, 1538]"
TCGA-FD-A43X-01A-11D-A23U-08,1772,[64],"[1615, 1607]"
TCGA-FD-A43Y-01A-21D-A26M-08,1773,[68],"[1615, 1538]"
TCGA-FD-A5BS-01A-21D-A26M-08,1774,[61],"[1615, 1607]"
TCGA-FD-A5BT-01A-11D-A26M-08,1775,[36],"[1615, 1607]"
TCGA-FD-A5BU-01A-31D-A26M-08,1776,[20],"[1615, 1538]"
TCGA-FD-A5BX-01A-11D-A26M-08,1777,[0],"[1615, 1607]"
TCGA-FD-A5BY-01A-31D-A289-08,1778,[64],"[1615, 1607]"
TCGA-FD-A5BZ-01A-11D-A289-08,1779,[192],"[1615, 1607]"
TCGA-FD-A5C0-01A-11D-A289-08,1780,[244],"[1615, 1538]"
TCGA-FD-A5C1-01A-11D-A289-08,1781,[20],"[1615, 1607]"
TCGA-FD-A62N-01A-11D-A30E-08,1782,[0],"[1615, 1538]"
TCGA-FD-A62O-01A-11D-A30E-08,1783,[52],"[1615, 1607]"
TCGA-FD-A62P-01A-32D-A30E-08,1784,[208],"[1615, 1607]"
TCGA-FD-A6TA-01A-12D-A339-08,1785,[204],"[1615, 1607]"
TCGA-FD-A6TB-01A-12D-A339-08,1786,[204],"[1615, 1607]"
TCGA-FD-A6TC-01A-21D-A339-08,1787,[4],"[1615, 1607]"
TCGA-FD-A6TD-01A-51D-A339-08,1788,[148],"[1615, 1607]"
TCGA-FD-A6TE-01A-12D-A339-08,1789,[128],"[1615, 1607]"
TCGA-FD-A6TF-01A-52D-A32B-08,1790,[16],"[1615, 1607]"
TCGA-FD-A6TG-01A-11D-A32B-08,1791,[128],"[1615, 1607]"
TCGA-FD-A6TH-01A-11D-A32B-08,1792,[84],"[1615, 1607]"
TCGA-FD-A6TI-01A-11D-A32B-08,1793,[112],"[1615, 1538]"
TCGA-FD-A6TK-01A-42D-A339-08,1794,[16],"[1615, 1607]"
TCGA-FJ-A3Z7-01A-12D-A23M-08,1795,[96],"[1615, 1607]"
TCGA-FJ-A3Z9-01A-11D-A26M-08,1796,[192],"[1615, 1547]"
TCGA-FJ-A3ZE-01A-11D-A23M-08,1797,[16],"[1615, 1547]"
TCGA-FJ-A3ZF-01A-11D-A23M-08,1798,[132],"[1615, 1607]"
TCGA-FJ-A871-01A-11D-A34U-08,1799,[68],"[1615, 1538]"
TCGA-FT-A61P-01A-11D-A30E-08,1800,[116],"[1615, 1538]"
TCGA-G2-A2EC-01A-11D-A17V-08,1801,[88],"[1615, 1607]"
TCGA-G2-A2EF-01A-12D-A18F-08,1802,[240],"[1615, 1607]"
TCGA-G2-A2EK-01A-22D-A18F-08,1803,[168],"[1615, 1607]"
TCGA-G2-A2EL-01A-12D-A18F-08,1804,[176],"[1615, 1607]"
TCGA-G2-A2EO-01A-11D-A17V-08,1805,[84],"[1615, 1607]"
TCGA-G2-A2ES-01A-11D-A17V-08,1806,[0],"[1615, 1607]"
TCGA-G2-A3IE-01A-11D-A20D-08,1807,[228],"[1615, 1607]"
TCGA-G2-A3VY-01A-11D-A22Z-08,1808,[0],"[1615, 1607]"
TCGA-G2-AA3B-01A-11D-A391-08,1809,[0],"[1615, 1607]"
TCGA-G2-AA3C-01A-21D-A391-08,1810,[208],"[1615, 1607]"
TCGA-G2-AA3D-01A-11D-A391-08,1811,[84],"[1615, 1607]"
TCGA-G2-AA3F-01A-12D-A42E-08,1812,[100],"[1615, 1547]"
TCGA-GC-A3BM-01A-11D-A22Z-08,1813,[20],"[1615, 1607]"
TCGA-GC-A3I6-01A-11D-A20D-08,1814,[80],"[1615, 1607]"
TCGA-GC-A3OO-01A-11D-A22Z-08,1815,[40],"[1615, 1607]"
TCGA-GC-A3RB-01A-12D-A21Z-08,1816,[220],"[1615, 1607]"
TCGA-GC-A3RC-01A-11D-A22Z-08,1817,[16],"[1615, 1607]"
TCGA-GC-A3RD-01A-12D-A22Z-08,1818,[132],"[1615, 1607]"
TCGA-GC-A3WC-01A-31D-A22Z-08,1819,[248],"[1615, 1607]"
TCGA-GC-A3YS-01A-11D-A23M-08,1820,[96],"[1615, 1607]"
TCGA-GC-A4ZW-01A-11D-A26M-08,1821,[144],"[1615, 1607]"
TCGA-GC-A6I1-01A-12D-A31L-08,1822,[4],"[1615, 1607]"
TCGA-GC-A6I3-01A-11D-A31L-08,1823,[240],"[1615, 1607]"
TCGA-GD-A3OP-01A-21D-A21Z-08,1824,[36],"[1615, 1607]"
TCGA-GD-A3OQ-01A-32D-A21Z-08,1825,[100],"[1615, 1607]"
TCGA-GD-A3OS-01A-12D-A21Z-08,1826,[176],"[1615, 1538]"
TCGA-GD-A6C6-01A-21D-A31L-08,1827,[0],"[1615, 1607]"
TCGA-GD-A76B-01A-11D-A32B-08,1828,[81],"[1615, 1607]"
TCGA-GU-A42P-01A-11D-A23U-08,1829,[132],"[1615, 1607]"
TCGA-GU-A42Q-01A-11D-A23U-08,1830,[0],"[1615, 1607]"
TCGA-GU-A42R-01A-11D-A23M-08,1831,[208],"[1615, 1607]"
TCGA-GU-A762-01A-11D-A339-08,1832,[68],"[1615, 1547]"
TCGA-GU-A763-01A-11D-A32B-08,1833,[108],"[1615, 1607]"
TCGA-GU-A764-01A-11D-A34U-08,1834,[24],"[1615, 1607]"
TCGA-GU-A766-01A-11D-A32B-08,1835,[244],"[1615, 1607]"
TCGA-GU-A767-01A-11D-A32B-08,1836,[0],"[1615, 1607]"
TCGA-GU-AATO-01A-11D-A391-08,1837,[68],"[1615, 1607]"
TCGA-GU-AATP-01A-11D-A391-08,1838,[16],"[1615, 1607]"
TCGA-GU-AATQ-01A-11D-A391-08,1839,[248],"[1615, 1607]"
TCGA-GV-A3JV-01A-11D-A21Z-08,1840,[4],"[1615, 1538]"
TCGA-GV-A3JW-01A-11D-A20D-08,1841,[4],"[1615, 1607]"
TCGA-GV-A3JX-01A-11D-A20D-08,1842,[192],"[1615, 1607]"
TCGA-GV-A3JZ-01A-11D-A21A-08,1843,[80],"[1615, 1607]"
TCGA-GV-A3QF-01A-31D-A22Z-08,1844,[0],"[1615, 1538]"
TCGA-GV-A3QH-01A-11D-A21Z-08,1845,[4],"[1615, 1607]"
TCGA-GV-A3QK-01B-11D-A23M-08,1846,[0],"[1615, 1607]"
TCGA-GV-A40E-01A-12D-A23M-08,1847,[0],"[1615, 1607]"
TCGA-GV-A40G-01A-11D-A23M-08,1848,[132],"[1615, 1538]"
TCGA-GV-A6ZA-01A-12D-A339-08,1849,[232],"[1615, 1607]"
TCGA-HQ-A2OE-01A-11D-A202-08,1850,[64],"[1615, 1607]"
TCGA-HQ-A2OF-01A-11D-A26M-08,1851,[0],"[1615, 1563]"
TCGA-HQ-A5ND-01A-11D-A26M-08,1852,[204],"[1615, 1538]"
TCGA-HQ-A5NE-01A-12D-A289-08,1853,[208],"[1615, 1607]"
TCGA-K4-A3WS-01A-11D-A22Z-08,1854,[0],"[1615, 1547]"
TCGA-K4-A3WU-01B-11D-A23M-08,1855,[180],"[1615, 1607]"
TCGA-K4-A3WV-01A-11D-A22Z-08,1856,[32],"[1615, 1538]"
TCGA-K4-A4AB-01B-12D-A289-08,1857,[36],"[1615, 1538]"
TCGA-K4-A4AC-01A-21D-A26M-08,1858,[112],"[1615, 1607]"
TCGA-K4-A54R-01A-11D-A26M-08,1859,[132],"[1615, 1607]"
TCGA-K4-A5RH-01A-11D-A30E-08,1860,[128],"[1615, 1607]"
TCGA-K4-A5RI-01A-11D-A289-08,1861,[180],"[1615, 1607]"
TCGA-K4-A5RJ-01A-11D-A289-08,1862,[224],"[1615, 1607]"
TCGA-K4-A6FZ-01A-11D-A31L-08,1863,[4],"[1615, 1547]"
TCGA-K4-A6MB-01A-11D-A31L-08,1864,[232],"[1615, 1607]"
TCGA-K4-A83P-01A-11D-A34U-08,1865,[48],"[1615, 1607]"
TCGA-K4-AAQO-01A-11D-A38G-08,1866,[52],"[1615, 1607]"
TCGA-KQ-A41N-01A-11D-A339-08,1867,[0],"[1615, 1547]"
TCGA-KQ-A41O-01A-12D-A34U-08,1868,[112],"[1615, 1607]"
TCGA-KQ-A41P-01A-12D-A339-08,1869,[0],"[1615, 1607]"
TCGA-KQ-A41Q-01A-11D-A339-08,1870,[4],"[1615, 1547]"
TCGA-KQ-A41R-01A-21D-A34U-08,1871,[132],"[1615, 1607]"
TCGA-KQ-A41S-01A-12D-A339-08,1872,[196],"[1615, 1607]"
TCGA-LC-A66R-01A-41D-A30E-08,1873,[160],"[1615, 1607]"
TCGA-LT-A5Z6-01A-11D-A289-08,1874,[4],"[1615, 1607]"
TCGA-LT-A8JT-01A-11D-A364-08,1875,[72],"[1615, 1607]"
TCGA-MV-A51V-01A-11D-A26M-08,1876,[144],"[1615, 1607]"
TCGA-PQ-A6FI-01A-11D-A31L-08,1877,[144],"[1615, 1607]"
TCGA-PQ-A6FN-01A-11D-A31L-08,1878,[160],"[1615, 1607]"
TCGA-R3-A69X-01A-22D-A30E-08,1879,[0],"[1615, 1607]"
TCGA-S5-A6DX-01A-11D-A31L-08,1880,[96],"[1615, 1607]"
TCGA-S5-AA26-01A-11D-A38G-08,1881,[4],"[1615, 1607]"
TCGA-SY-A9G0-01A-12D-A38G-08,1882,[52],"[1615, 1607]"
